"OBJECTID,N,9,0","GIS_ID,C,16","WEB_URL,C,125","NAME,C,16","NBH_NAMES,C,254","Area,N,19,11","CLUSTER,C,254","Cluster_Na,C,254","PopTotal,N,19,11","PopU18,N,19,11","R_PopU18,N,19,11","PopU5,N,19,11","R_PopU5,N,19,11","PopNHW,N,19,11","PopNHB,N,19,11","PopNHO,N,19,11","PopHisp,N,19,11","PopNHW18,N,19,11","PopNHB18,N,19,11","PopNHO18,N,19,11","PopHisp18,N,19,11","ChildPov,N,19,11","ConcPov,N,19,11","R_ConcPov,N,19,11","NRTraveler,N,19,11","woHSDiplom,N,19,11","Nr25OrOlde,N,19,11","Employ1624,N,19,11","R_Employ16,N,19,11","SingleMomF,N,19,11","HomeOwn,N,19,11","R_HomeOwn,N,19,11","Reg_Vacant,N,19,11","MedFamInc,N,19,11","MedFamIncR,N,19,11","Voter_Turn,N,19,11","R_Voter_Tu,N,19,11","Library,N,19,11","InfantTod_,N,19,11","Medicaid_c,C,254","Medicaid_d,C,254","Grocery_St,N,19,11","Rec_Center,N,19,11","Bus_Stops,N,19,11","Metro_Stat,N,19,11","Rate_Asthm,N,19,11","Crime_rate,N,19,11","R_Crime_ra,N,19,11","Shape_Leng,N,19,11","Shape_Area,N,19,11","c_name,C,80","groc,N,24,15","rec,N,24,15"
25,Nbclus_013,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",9082501.17026,Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",18558,3018.064864,28,854.583783,29,0.801134,0.037302,0.090848,0.070714,0.799862,0.027686,0.097601,0.074849,0.006505,0.063687,4,0.019856,0.001199,0.024299,0.873443,29,0.46537,0.648185,36,1,179400.9927,179400,0.356976,30,1,36,,,1,2,83,0,102.386362805,0.484966,1,0.1603302432,0.0009435732,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Geo",1,2
26,Nbclus_020,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 20,"North Michigan Park, Michigan Park, University Heights",3977876.10628,Cluster 20,"North Michigan Park, Michigan Park, University Heights",8875,1439,12,441,9,0.123154,0.791887,0.039661,0.045295,0.068797,0.792216,0.059763,0.079221,0.126009,0.090941,10,0.126134,0.033684,0.120471,0.751152,16,0.597156,0.726972,39,6,65155.9704,65200,0.394547,36,0,133,,,1,2,117,1,621.993799623,7.436619,13,0.1050154701,0.0004133509,"North Michigan Park, Michigan Park, University Heights",1,2
27,Nbclus_012,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3218065.44786,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",15550,1407.046862,11,504.894491,13,0.747872,0.063744,0.114121,0.074261,0.690998,0.077256,0.153277,0.078467,0.03448,0.084362,9,0.027505,0.004729,0.015729,0.962028,35,0.441506,0.344437,18,0,163826.2588,163800,0.344419,29,0,26,,,1,0,26,2,71.8531413885,0.836012,2,0.074837858,0.0003344181,"North Cleveland Park, Forest Hills, Van Ness",1,0
28,Nbclus_018,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 18,"Brightwood Park, Crestwood, Petworth",6496989.88581,Cluster 18,"Brightwood Park, Crestwood, Petworth",39924,7979,39,2544,39,0.125989,0.592175,0.040727,0.241108,0.070184,0.531645,0.051259,0.34691,0.134022,0.119791,14,0.126911,0.027034,0.210147,0.771485,18,0.388686,0.513557,34,39,57160.12,57200,0.289655,21,1,385,,,2,4,159,1,293.276968453,11.747319,22,0.1232548368,0.0006751591,"Brightwood Park, Crestwood, Petworth",2,5
29,Nbclus_011,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 11,"Friendship Heights, American University Park, Tenleytown",4188960.85683,Cluster 11,"Friendship Heights, American University Park, Tenleytown",12216,2317.26795,23,773.062171,23,0.793948,0.047889,0.091196,0.066964,0.755296,0.03323,0.129904,0.081568,0.029866,0.075592,6,0.048017,0.005954,0.022069,0.919644,30,0.533455,0.712151,38,0,178480.0916,178500,0.385394,35,1,23,,,3,2,88,2,52.8808832439,3.847413,9,0.0924905478,0.000435326,"Friendship Heights, American University Park, Tenleytown",3,2
30,Nbclus_019,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",3605480.97095,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",13206,1916,20,596,18,0.169089,0.689989,0.033166,0.107754,0.022964,0.754175,0.031837,0.191022,0.152916,0.113183,12,0.114929,0.017797,0.16489,0.85871,25,0.228615,0.444202,28,5,47537.6605,47500,0.357179,31,1,92,,,0,2,85,1,608.842613267,7.345146,12,0.1392769147,0.0003747117,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",0,2
31,Nbclus_017,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 17,"Takoma, Brightwood, Manor Park",4479170.09914,Cluster 17,"Takoma, Brightwood, Manor Park",19455,3713.201484,34,1232.823966,36,0.115397,0.657077,0.044809,0.182715,0.070416,0.579826,0.057223,0.292533,0.221326,0.141816,16,0.111558,0.030617,0.170679,0.819646,22,0.437634,0.466988,31,12,58014.4028,58000,0.339154,28,1,221,,,1,2,100,1,320.480009271,8.686712,16,0.1144319018,0.000465594,"Takoma, Brightwood, Manor Park",1,2
32,Nbclus_016,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",2246425.09325,Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",3957,718,3,202,3,0.235026,0.66237,0.052059,0.050543,0.242339,0.559888,0.108635,0.089136,0,0.038669,1,0.081529,0.015085,0.03124,0.721649,13,0.699103,0.861127,40,2,153482,153500,0.45804,39,1,0,,,0,0,42,0,514.092245851,4.043467,10,0.0728800934,0.0002335681,"Colonial Village, Shepherd Park, North Portal Estates",0,0
33,Nbclus_010,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",4943821.88442,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",11986,2750.732049,26,812.937828,26,0.76899,0.097027,0.071745,0.062236,0.780438,0.062527,0.08724,0.069793,0.010769,0.048169,2,0.047006,0.004004,0.045769,0.981045,38,0.411294,0.674228,37,2,215958,216000,0.411434,38,1,37,,,2,2,115,0,36.0191831365,1.001168,3,0.1001550107,0.0005138986,"Hawthorne, Barnaby Woods, Chevy Chase",2,2
34,Nbclus_028,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487322,Cluster 28,Historic Anacostia,1339009.31425,Cluster 28,Historic Anacostia,4876,1583,16,485,11,0.01251,0.959392,0.019278,0.008818,0.001895,0.969046,0.019583,0.009475,0.61005,0.433417,37,0.226767,0.093392,0.227333,0.618296,8,0.633475,0.238374,10,14,16310.4924,16300,0.21041,1,0,109,,,0,0,42,0,565.060488391,21.534044,37,0.0577859019,0.0001389853,Historic Anacostia,0,1
35,Nbclus_035,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",1906664.35771,Cluster 35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",7688,1375,9,400,8,0.045655,0.910509,0.024583,0.01925,0.022545,0.925818,0.02909,0.022545,0.109494,0.162671,19,0.212612,0.034795,0.101655,0.434782,2,0.128912,0.394519,24,2,52437.4314,52400,0.384485,34,0,10,,,1,1,71,0,926.246670314,11.576482,21,0.068844444,0.0001978995,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",1,1
36,Nbclus_037,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 37,"Sheridan, Barry Farm, Buena Vista",2052485.35579,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8071,2918.329493,27,791.707373,24,0.007193,0.962429,0.013269,0.017107,0.002057,0.964685,0.012345,0.020911,0.630434,0.443061,39,0.143857,0.06299,0.242837,0.591896,5,0.426277,0.192413,4,21,21291.0824,21300,0.211438,2,0,9,,,0,1,82,1,468.891751364,21.434766,36,0.0801389352,0.0002130329,"Sheridan, Barry Farm, Buena Vista",0,1
37,Nbclus_034,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",4925926.31889,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",14963,3041,29,800,25,0.019247,0.942792,0.022321,0.015638,0.004932,0.948701,0.024662,0.021703,0.297569,0.20111,25,0.168872,0.026514,0.157264,0.606711,7,0.125623,0.41167,26,28,48678.9311,48700,0.338293,27,2,172,,,1,2,89,0,1024.36349483,11.829178,23,0.1269741266,0.0005113556,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",1,3
38,Nbclus_025,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487322,Cluster 25,"Union Station, Stanton Park, Kingman Park",4149813.1018,Cluster 25,"Union Station, Stanton Park, Kingman Park",29295,4353,37,1724,37,0.485646,0.420242,0.051442,0.042669,0.314036,0.555249,0.068688,0.062026,0.215853,0.146891,17,0.077992,0.010287,0.097892,0.820677,23,0.700209,0.465758,30,54,110653.8502,110700,0.328516,25,1,355,,,1,1,112,2,330.427005322,10.445468,19,0.1117830171,0.0004309466,"Union Station, Stanton Park, Kingman Park",1,2
39,Nbclus_026,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487322,Cluster 26,"Capitol Hill, Lincoln Park",4503507.35859,Cluster 26,"Capitol Hill, Lincoln Park",20909,2329,25,1089,34,0.55708,0.339949,0.051317,0.051652,0.504937,0.341777,0.085873,0.06741,0.080234,0.072548,5,0.047957,0.028848,0.104716,0.980804,37,0.72,0.498359,32,19,152896.6771,152900,0.35826,32,1,56,,,3,1,138,4,258.7152338,10.665263,20,0.1037236855,0.0004675928,"Capitol Hill, Lincoln Park",3,1
