Gis_id,Nbh_longna,Zipcode,er_ast_10_cl,er_ast_10,dental_visit,prev_med_visit,medicaid_enroll,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012
Nbclus_015,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone",20016,14.5112107086735,14.5112107086735,34.9441978190861,52.3571412798012,81.4732931714403,30.0353090544957,28.8101502987087,33.1583519963788,31.8973368574984,44.2137135015544,44.1913699038789,47.2817052391426,43.8333757464422,38.1289772131188,50.6929188180678,63.9060649291635,78.6995344570548,88.3676261281227
Nbclus_016,"Colonial Village, Shepherd Park, North Portal Estates",20307,41.4572206481591,41.4572206481591,339.440032763534,526.718021296798,700.826674563788,307.254611059648,297.986087829867,281.4045098564,312.616664200635,354.560667424733,385.771630600062,418.936871092582,428.200331854513,456.485239314134,579.384046257283,703.263863157972,852.985443079567,952.479080011541
Nbclus_017,"Takoma, Brightwood, Manor Park",20307,132.899039800377,132.899039800377,1466.22871074084,2173.67410531891,2832.99585150909,1329.76029565728,1231.11765142047,1209.50404728023,1353.36292615279,1492.58571798644,1586.2577599364,1650.62594347731,1662.6825064301,1804.07894462703,2295.20855582244,2831.70822409618,3372.28069409835,3663.36906918898
Nbclus_018,"Brightwood Park, Crestwood, Petworth",20011,259.862477996317,259.862477996317,3159.44217178964,4629.7580610486,5983.44728024451,2933.95669430201,2692.34885732967,2664.47442080927,2964.94980375695,3232.71231351016,3409.24999879554,3488.91647223098,3490.04723181284,3786.49567930414,4810.97262381722,5963.7191516617,7049.71482851643,7581.18558293618
Nbclus_019,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",20064,129.152909976147,129.152909976147,1507.34554587124,2204.68742942796,2869.97044606027,1376.91543734815,1266.08100026791,1256.61568182682,1411.71977394631,1551.22051502832,1639.26406776945,1687.08577739091,1694.1862949712,1843.10066752321,2341.45731144633,2890.42686118193,3426.99878304654,3691.320800674
Nbclus_020,"North Michigan Park, Michigan Park, University Heights",20064,91.0774618725254,91.0774618725254,759.009581109737,1041.10606106416,1446.66014347924,986.959971584368,954.463033841689,977.250898544433,1158.40197199161,1315.76823293767,1411.13743756122,1407.48035337658,1438.23144737548,1536.817690699,1851.40368500577,2194.01841340871,2597.28836281775,2737.2123797623
Nbclus_021,"Edgewood, Bloomingdale, Truxton Circle, Eckington",20317,242.171327165975,242.171327165975,2225.54813856154,3075.15519371794,4190.90777528456,4123.46723876213,3972.35445961975,4129.59076185242,4690.32782272216,5151.30844270854,5270.01374609676,5034.00234835859,4876.12607495292,5034.62255375767,5801.83015962603,6545.19822413214,7322.19018204384,7538.26171128643
Nbclus_022,"Brookland, Brentwood, Langdon",20018,106.807689072309,106.807689072309,1038.48659567893,1368.520587988,1849.5216085015,1494.03433790076,1453.42142144387,1558.71830783495,1816.95040027592,2061.97886568065,2164.75600534189,2104.13137729236,2059.02623762548,2219.58450989099,2595.60826923793,2870.3937557884,3313.84255623123,3530.04212975847
Nbclus_023,"Ivy City, Arboretum, Trinidad, Carver Langston",20002,162.579555158119,162.579555158119,1344.17238908972,1743.13853595263,2520.32322954322,3227.10213251094,3150.23397463283,3405.66754351097,4016.53131142724,4600.18511195304,4676.03289605401,4353.9349070692,4230.46968003489,4485.22299972826,5103.22938408454,5553.55434439699,6004.89967848658,6067.1424788923
Nbclus_024,"Woodridge, Fort Lincoln, Gateway",20018,75.308996142952,75.308996142952,823.130101886293,1079.66007920798,1424.12569959394,1206.9047023706,1168.19297596067,1265.50825685692,1470.15759566052,1661.16835123276,1750.38313460755,1694.66220234278,1646.55757484399,1787.84665003396,2076.86193938508,2278.5441803836,2632.45167446437,2835.36765809991
